Name,Type,SubType,Library
"Amusements, gambling, and recreation industries",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Bituminous Coal,Fuel,Coal and Coke,EPA 2022 - Stationary Combustion Fuels in MMBTU
Butane metricton,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Food and beverage stores,,,EPA 2022 - Supply chain GHG emission factors - v1.1
LLDPE-Combusted,LLDPE,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Food Waste (meat only)-Anaerobically Digested (Wet Digestate with Curing),Food Waste (meat only),Anaerobically Digested (Wet Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Processed fuel oils - distillate oil kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Processed fuel oils - residual oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Naphtha metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
Steam and heat,Steam and heat,,EPA 2022 - eGRID
Waxes,,,IPCC 1.A.1 Energy Industries
Grass-Combusted,Grass,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Bread-Landfilled,Bread,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Processed fuel oils - residual oil metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
Gasoline heavy-duty vehicles 2004,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Lignite coal,Fuel,Coal and coke,EPA 2022 - Stationary Combustion Fuels
Gasoline passenger cars 2002,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Branches-Composted,Branches,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Industrial Wastes,,,IPCC 1.A.1 Energy Industries
Nonmetallic mineral products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Gasoline passenger cars 1996,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Fabricated metal products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Gasoline heavy-duty vehicles 2011,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Aircraft,Transport Mode,Shared load,EPA 2022 - Transportation and distribution
Isobutane,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Locomotives-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Lawn and garden equipment-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Pipeline transportation,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Other petroleum gas kWh (gross CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
Gasoline light-duty trucks 1987-93,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Aluminum Cans-Landfilled,Aluminum Cans,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Used Oil,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Gasoline passenger cars 1984-93,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Lawn and garden equipment-gasoline (2 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
"Federal Reserve banks, credit intermediation, and related activities",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Petrochemical feedstocks,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Poultry-Anaerobically Digested (Wet Digestate with Curing),Poultry,Anaerobically Digested (Wet Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Residual fuel oil no. 5,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Gasoline passenger cars 2007,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Portable Electronic Devices-Landfilled,Portable Electronic Devices,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed Organics-Combusted,Mixed Organics,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed Organics-Landfilled,Mixed Organics,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Textbooks-Landfilled,Textbooks,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed MSW-Landfilled,Mixed MSW,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Portable Electronic Devices-Combusted,Portable Electronic Devices,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Petroleum and coal products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Light-duty trucks-ethanol,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
HDPE-Landfilled,HDPE,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Dairy Products-Anaerobically Digested (Wet Digestate with Curing),Dairy Products,Anaerobically Digested (Wet Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Processed fuel oils - residual oil kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Poultry-Composted,Poultry,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Waste Oils,,,IPCC 1.A.1 Energy Industries
Buses-biodiesel,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
"Forestry, fishing, and related activities",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Food and beverage and tobacco products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Medium- and Heavy-Duty Truck,Transport Mode,Non-shared load,EPA 2022 - Transportation and distribution
Lubricants L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Newspaper-Recycled,Newspaper,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Blast Furnace Gas,,,IPCC 1.A.1 Energy Industries
Glass-Recycled,Glass,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
LNG kWh (gross CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
Petrochemical Feedstocks,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Distillate Fuel Oil No. 4,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Glass-Combusted,Glass,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
CRT Displays-Landfilled,CRT Displays,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Coke Oven Gas,,,IPCC 1.A.1 Energy Industries
Wood Flooring-Combusted,Wood Flooring,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Agricultural equipmentA-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Butane kWh (gross CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
Sub-bituminous coal,Fuel,Coal and coke,EPA 2022 - Stationary Combustion Fuels
Buses-LPG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
PVC-Combusted,PVC,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Wood and wood residuals,Fuel,Biomass fuels - solid,EPA 2022 - Stationary Combustion Fuels
Gasoline heavy-duty vehicles 2001,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Petroleum Coke (Solid),Fuel,Other Fuels - Solid,EPA 2022 - Stationary Combustion Fuels in MMBTU
Mixed Electronics-Combusted,Mixed Electronics,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Diesel Fuel,Fuel,,EPA 2022 - Mobile Combustion Fuels
Medium-duty trucks-biodiesel,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Industrial/Commercial equipment-gasoline (2 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Coal (industrial) kWh (net CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Crude Oil,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Coal Tar,,,IPCC 1.A.1 Energy Industries
Pentanes plus,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Municipal solid waste,Fuel,Other fuels - solid,EPA 2022 - Stationary Combustion Fuels
Gasoline motorcycles 1960-1995,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
CNG kWh (net CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
ERCT (ERCOT All),eGRID,Total output,EPA 2022 - eGRID
Food Waste (non-meat)-Composted,Food Waste (non-meat),Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
PS-Landfilled,PS,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline heavy-duty vehicles 2007,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Diesel (average biofuel blend) kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Propane Gas,Fuel,Other Fuels - Gaseous,EPA 2022 - Stationary Combustion Fuels in MMBTU
Ships and boats-gasoline (4 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Processed fuel oils - distillate oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Kerosene,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Mixed Paper (primarily from offices)-Landfilled,Mixed Paper (primarily from offices),Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Asphalt Concrete-Landfilled,Asphalt Concrete,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Other Petroleum Products,,,IPCC 1.A.1 Energy Industries
Air transportation,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Diesel (100% mineral diesel) kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Aluminum Ingot-Recycled,Aluminum Ingot,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Administrative and support services,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Marine gas oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Straw,Fuel,"Biomass Fuels - Kraft Pulping Liquor, by Wood Furnish",EPA 2022 - Stationary Combustion Fuels in MMBTU
Mixed (Commercial sector),Fuel,Coal and coke,EPA 2022 - Stationary Combustion Fuels
Fuel gas,Fuel,Other fuels - gaseous,EPA 2022 - Stationary Combustion Fuels
Magazines/Third-class mail-Recycled,Magazines/Third-class mail,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Municipal Wastes (biomass fraction),,,IPCC 1.A.1 Energy Industries
Bitumen,,,IPCC 1.A.1 Energy Industries
Chemical products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Marine fuel oil kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Aviation gasoline,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Dimensional Lumber-Landfilled,Dimensional Lumber,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Kerosene-Type Jet Fuel,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Dairy Products-Anaerobically Digested (Dry Digestate with Curing),Dairy Products,Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Broadcasting and telecommunications,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Light-duty trucks-diesel 1983-1995,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Wood and Wood Residuals,Fuel,Biomass Fuels - Solid,EPA 2022 - Stationary Combustion Fuels in MMBTU
CRT Displays-Combusted,CRT Displays,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
CAMX (WECC California),eGRID,Total output,EPA 2022 - eGRID
Unfinished Oils,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Dimensional Lumber-Combusted,Dimensional Lumber,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Primary metals,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Heavy-duty trucks-LPG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Marine fuel oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Butylene,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Passenger cars-diesel 1960-1982,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline heavy-duty vehicles 2010,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
"Funds, trusts, and other financial vehicles",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Gasoline light-duty trucks 1998,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline passenger cars 2004,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Heavy Gas Oils,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Leaves-Landfilled,Leaves,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
LPG metricton,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Construction/Mining equipmentB-LPG,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
HDPE-Recycled,HDPE,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Light-duty cars-CNG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Plastics and rubber products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Gasoline passenger cars 1998,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Food Waste (non-meat)-Anaerobically Digested (Wet Digestate with Curing),Food Waste (non-meat),Anaerobically Digested (Wet Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline light-duty trucks 1994,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Lubricants kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Gasoline heavy-duty vehicles 2013,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Butane,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Biodiesel (100%),Fuel,Biomass fuels - liquid,EPA 2022 - Stationary Combustion Fuels
Passenger cars-diesel 1983-1995,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline passenger cars 2013,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Asphalt Shingles-Landfilled,Asphalt Shingles,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed Recyclables-Combusted,Mixed Recyclables,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Natural gas (100% mineral blend) kWh (net CV),Fuel,Gaseous Fuel,Defra 2022 - Fuels
Diesel (100% mineral diesel) metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
Buses-methanol,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline light-duty trucks 2004,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Biodiesel (100%),Fuel,,EPA 2022 - Mobile Combustion Fuels
Mixed Recyclables-Landfilled,Mixed Recyclables,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Motion picture and sound recording industries,,,EPA 2022 - Supply chain GHG emission factors - v1.1
RFCE (RFC East),eGRID,Total output,EPA 2022 - eGRID
Fruits and Vegetables-Anaerobically Digested (Dry Digestate with Curing),Fruits and Vegetables,Anaerobically Digested (Dry Digestate with Curing),EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Industrial/Commercial equipment-LPG,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Refinery Gas,,,IPCC 1.A.1 Energy Industries
Patent Fuel,,,IPCC 1.A.1 Energy Industries
Bituminous coal,Fuel,Coal and coke,EPA 2022 - Stationary Combustion Fuels
PLA-Combusted,PLA,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Other petroleum gas metricton,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Mixed Paper (general)-Recycled,Mixed Paper (general),Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Food Waste-Combusted,Food Waste,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline heavy-duty vehicles 1988-1989,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline passenger cars 2009,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Construction/Mining equipmentB-gasoline (4 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Fuel oil metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
Gas oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Mixed Electronics-Landfilled,Mixed Electronics,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Ethanol (100%),Fuel,Biomass Fuels - Liquid,EPA 2022 - Stationary Combustion Fuels in MMBTU
Aluminum Cans-Combusted,Aluminum Cans,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed Paper (general)-Combusted,Mixed Paper (general),Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed MSW-Combusted,Mixed MSW,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline passenger cars 2003,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Aviation Gasoline,,,IPCC 1.A.1 Energy Industries
Railroad equipment-LPG,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Rendered Animal Fat,Fuel,Biomass Fuels - Liquid,EPA 2022 - Stationary Combustion Fuels in MMBTU
Hospitals,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Agricultural equipmentA-gasoline (2 stroke),Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Mixed Plastics-Recycled,Mixed Plastics,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Agricultural Byproducts,Fuel,Biomass Fuels - Solid,EPA 2022 - Stationary Combustion Fuels in MMBTU
Diesel (average biofuel blend) L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Office Paper-Combusted,Office Paper,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline light-duty trucks 1979-80,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Corrugated Containers-Recycled,Corrugated Containers,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Light-duty trucks-diesel 1996-2006,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Buses-LNG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Passenger car,,,EPA 2022 - Business travel and employee commuting GHG emission factors
Miscellaneous manufacturing,,,EPA 2022 - Supply chain GHG emission factors - v1.1
PET-Recycled,PET,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Leaves-Combusted,Leaves,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Refinery miscellaneous kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
LLDPE-Landfilled,LLDPE,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
SRSO (SERC South),eGRID,Total output,EPA 2022 - eGRID
Construction/Mining offroad trucks-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Aircraft-jet fuel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline light-duty trucks 2006,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline light-duty trucks 1984,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Grains-Landfilled,Grains,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Diesel (average biofuel blend) kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Other biomass gases,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
LDPE-Combusted,LDPE,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Ships and boats-residual fuel oil,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Copper Wire-Landfilled,Copper Wire,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Bamboo,Fuel,"Biomass Fuels - Kraft Pulping Liquor, by Wood Furnish",EPA 2022 - Stationary Combustion Fuels in MMBTU
Aviation spirit kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Anthracite Coal,Fuel,Coal and Coke,EPA 2022 - Stationary Combustion Fuels in MMBTU
Gasoline motorcycles 1996-2018,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Light-duty trucks-diesel 2007-2018,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
PET-Landfilled,PET,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline heavy-duty vehicles 2009,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Warehousing and storage,,,EPA 2022 - Supply chain GHG emission factors - v1.1
Tires-Combusted,Tires,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Office Paper-Landfilled,Office Paper,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Coal (domestic) kWh (gross CV),Fuel,Solid Fuel,Defra 2022 - Fuels
Natural Gas Cubic metres,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Gasoline passenger cars 1982,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Aircraft-aviation gasoline,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Fuel oil kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Gasoline passenger cars 1997,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Gasoline light-duty trucks 1986,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Medium-density Fiberboard-Landfilled,Medium-density Fiberboard,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Fly Ash-Landfilled,Fly Ash,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Dimensional Lumber-Recycled,Dimensional Lumber,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Magazines/Third-class mail-Combusted,Magazines/Third-class mail,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Mixed (Electric power sector),Fuel,Coal and coke,EPA 2022 - Stationary Combustion Fuels
Gasoline light-duty trucks 1973-74,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
HIMS (HICC Miscellaneous),eGRID,Total output,EPA 2022 - eGRID
Propylene,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Heavy-duty trucks-CNG,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
SRMV (SERC Mississippi Valley),eGRID,Total output,EPA 2022 - eGRID
Desktop CPUs-Landfilled,Desktop CPUs,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Fruits and Vegetables-Landfilled,Fruits and Vegetables,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
LNG L,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Distillate Fuel Oil No. 2,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Gasoline passenger cars 2015,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Aluminum Ingot-Landfilled,Aluminum Ingot,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Gasoline passenger cars 2018,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Plastics,Fuel,Other Fuels - Solid,EPA 2022 - Stationary Combustion Fuels in MMBTU
NEWE (NPCC New England),eGRID,Total output,EPA 2022 - eGRID
Gasoline light-duty trucks 2010,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Butylene,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Leaves-Composted,Leaves,Composted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Medium- and heavy-duty vehicles-diesel 1960-2006,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Airport equipment-diesel,Vehicle,Non-road vehicles,EPA 2022 - Mobile Combustion Vehicles
Phonebooks-Landfilled,Phonebooks,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Petrol (average biofuel blend) metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
North American Softwood,Fuel,"Biomass Fuels - Kraft Pulping Liquor, by Wood Furnish",EPA 2022 - Stationary Combustion Fuels in MMBTU
Asphalt Concrete-Recycled,Asphalt Concrete,Recycled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Petrol (average biofuel blend) kWh (gross CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Gasoline light-duty trucks 1977-78,Vehicle,On-road gasoline vehicles,EPA 2022 - Mobile Combustion Vehicles
Ethylene,Fuel,Petroleum Products,EPA 2022 - Stationary Combustion Fuels in MMBTU
Other petroleum gas L,Fuel,Gaseous Fuel,Defra 2022 - Fuels
Furniture and related products,,,EPA 2022 - Supply chain GHG emission factors - v1.1
"Electrical equipment, appliances, and components",,,EPA 2022 - Supply chain GHG emission factors - v1.1
Flat-panel Displays-Combusted,Flat-panel Displays,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Food Waste-Landfilled,Food Waste,Landfilled,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Light-duty truck,,,EPA 2022 - Business travel and employee commuting GHG emission factors
Residual Fuel Oil,,,IPCC 1.A.1 Energy Industries
Liquefied Petroleum Gases (LPG),Fuel,,EPA 2022 - Mobile Combustion Fuels
Peat,,,IPCC 1.A.1 Energy Industries
Aviation turbine fuel metricton,Fuel,Liquid Fuel,Defra 2022 - Fuels
Natural gasoline,Fuel,Petroleum products,EPA 2022 - Stationary Combustion Fuels
Burning oil L,Fuel,Liquid Fuel,Defra 2022 - Fuels
Heavy-duty trucks-biodiesel,Vehicle,On-road diesel and alternative fuel vehicles,EPA 2022 - Mobile Combustion Vehicles
Copper Wire-Combusted,Copper Wire,Combusted,EPA 2022 - Waste Generated in Operations or End-of-Life Treatment of Sold Products
Diesel (100% mineral diesel) kWh (net CV),Fuel,Liquid Fuel,Defra 2022 - Fuels
Peat,Fuel,Biomass fuels - solid,EPA 2022 - Stationary Combustion Fuels
